Saham,voting,total jumlah persentase(%)
LPKR,16,22.10971449822508
HRUM,14,19.0645472494564
AGII,11,38.00215320564411
UNVR,10,19.550633459183757
FILM,10,21.301719395410316
INCO,9,24.21422463412418
LSIP,9,10.992808281926608
AALI,8,10.0849027077486
PTBA,7,6.5992967414272385
ITMG,6,6.742260397864769
TAPG,6,6.437463196262796
CPIN,6,7.367930952609424
KPIG,6,8.101852487406088
SIDO,5,6.374812707020876
KAEF,5,4.529075649676012
UNTR,5,7.3590402328057
ICBP,5,6.663169066072292
TINS,5,7.09155424957006
PGAS,4,3.8408799801025033
BANK,4,6.289204459402825
ASRI,3,3.9159707327136384
ISAT,3,6.990739246758268
ELSA,3,2.459103060534745
LPPF,3,2.447884489683939
MIKA,3,2.403452672659192
ANTM,2,6.153942074241106
BRPT,2,2.215723939895866
MLPL,2,3.745002285760088
SMRA,2,1.4039026368321061
INTP,2,1.62533041917114
PTPP,2,2.142617315272157
AKRA,2,1.8484921198053121
EXCL,2,2.3086487160084834
RALS,2,3.2360940701069913
TPIA,2,5.833301481609395
ADRO,2,1.8683862299348977
MYOR,2,4.026112889013443
